년도,온도
2021,11.3186
2022,11.1735
2023,11.4356
2024,11.0462
2025,10.8317
2026,11.3506
2027,11.8894
2028,11.76
2029,11.6687
2030,11.5144
2031,12.3281
2032,11.5543
2033,11.8489
2034,11.7212
2035,12.1751
2036,11.5473
2037,12.1825
2038,12.1706
2039,12.5523
2040,11.8823
2041,11.7844
2042,11.987
2043,11.5654
2044,11.8576
2045,11.9685
2046,12.1803
2047,12.1263
2048,12.6501
2049,11.9892
2050,12.5848
2051,11.7078
2052,11.5499
2053,11.5446
2054,11.9975
2055,12.3041
2056,12.8909
2057,12.8672
2058,13.1696
2059,11.1698
2060,12.9541
2061,12.6148
2062,12.1476
2063,12.8787
2064,12.516
2065,12.9497
2066,13.1267
2067,13.4006
2068,12.6249
2069,13.8948
2070,12.9443
2071,12.6959
2072,12.5592
2073,12.4323
2074,12.8032
2075,14.0337
2076,12.1576
2077,13.0259
2078,13.3363
2079,12.7067
2080,14.1857
2081,13.5961
2082,14.172
2083,12.9715
2084,13.4734
2085,13.9235
2086,13.9699
2087,14.1606
2088,14.0801
2089,13.654
2090,13.7801
2091,13.319
2092,14.3387
2093,14.1855
2094,14.0432
2095,14.7544
2096,14.6964
2097,14.6164
2098,14.1557
2099,14.1545
2100,15.2078
