년도,CH4
2008. 01,"1,900.00"
2008. 02,"1,909.00"
2008. 03,"1,913.00"
2008. 04,"1,901.00"
2008. 05,"1,893.00"
2008. 06,"1,896.00"
2008. 07,"1,840.00"
2008. 08,"1,844.00"
2008. 09,"1,856.00"
2008. 10,"1,901.00"
2008. 11,"1,910.00"
2008. 12,"1,910.00"
2009. 01,"1,906.00"
2009. 02,"1,916.00"
2009. 03,"1,910.00"
2009. 04,"1,906.00"
2009. 05,"1,895.00"
2009. 06,"1,881.00"
2009. 07,"1,869.00"
2009. 08,"1,879.00"
2009. 09,"1,908.00"
2009. 10,"1,909.00"
2009. 11,"1,905.00"
2009. 12,"1,915.00"
2010. 01,"1,918.00"
2010. 02,"1,913.00"
2010. 03,"1,920.00"
2010. 04,"1,907.00"
2010. 05,"1,884.00"
2010. 06,"1,902.00"
2010. 07,"1,851.00"
2010. 08,"1,863.00"
2010. 09,"1,918.00"
2010. 10,"1,913.00"
2010. 11,"1,912.00"
2010. 12,"1,917.00"
2011. 01,"1,911.00"
2011. 02,"1,922.00"
2011. 03,"1,907.00"
2011. 04,"1,906.00"
2011. 05,"1,903.00"
2011. 06,"1,895.00"
2011. 07,"1,877.00"
2011. 08,"1,870.00"
2011. 09,"1,925.00"
2011. 10,"1,919.00"
2011. 11,"1,920.00"
2011. 12,"1,925.00"
2012. 01,"1,929.00"
2012. 02,"1,931.00"
2012. 03,"1,932.00"
2012. 04,"1,918.00"
2012. 05,"1,927.00"
2012. 06,"1,906.00"
2012. 07,"1,878.00"
2012. 08,"1,881.00"
2012. 09,"1,927.00"
2012. 10,"1,929.00"
2012. 11,"1,933.00"
2012. 12,"1,943.00"
2013. 01,"1,948.00"
2013. 02,"1,953.00"
2013. 03,"1,948.00"
2013. 04,"1,932.00"
2013. 05,"1,932.00"
2013. 06,"1,931.00"
2013. 07,"1,892.00"
2013. 08,"1,885.00"
2013. 09,"1,931.00"
2013. 10,"1,940.00"
2013. 11,"1,937.00"
2013. 12,"1,942.00"
2014. 01,"1,944.00"
2014. 02,"1,953.00"
2014. 03,"1,943.00"
2014. 04,"1,938.00"
2014. 05,"1,941.00"
2014. 06,"1,939.00"
2014. 07,"1,885.00"
2014. 08,"1,910.00"
2014. 09,"1,962.00"
2014. 10,"1,952.00"
2014. 11,"1,964.00"
2014. 12,"1,962.00"
2015. 01,"1,970.00"
2015. 02,"1,961.00"
2015. 03,"1,954.00"
2015. 04,"1,952.00"
2015. 05,"1,937.00"
2015. 06,"1,942.00"
2015. 07,"1,925.00"
2015. 08,"1,906.00"
2015. 09,"1,972.00"
2015. 10,"1,956.00"
2015. 11,"1,979.00"
2015. 12,"1,970.00"
2016. 01,"1,967.00"
2016. 02,"1,964.00"
2016. 03,"1,968.00"
2016. 04,"1,965.00"
2016. 05,"1,966.00"
2016. 06,"1,960.00"
2016. 07,"1,929.00"
2016. 08,"1,920.00"
2016. 09,"1,984.00"
2016. 10,"1,991.00"
2016. 11,"1,991.00"
2016. 12,"1,980.00"
2017. 01,"1,984.00"
2017. 02,"1,972.00"
2017. 03,"1,975.00"
2017. 04,"1,966.00"
2017. 05,"1,962.00"
2017. 06,"1,955.00"
2017. 07,"1,951.00"
2017. 08,"1,958.00"
2017. 09,"1,979.00"
2017. 10,"1,977.00"
2017. 11,"1,977.00"
2017. 12,"1,987.00"
2018. 01,"1,983.00"
2018. 02,"1,981.00"
2018. 03,"1,983.00"
2018. 04,"1,969.00"
2018. 05,"1,972.00"
2018. 06,"1,964.00"
2018. 07,"1,948.00"
2018. 08,"1,951.00"
2018. 09,"1,981.00"
2018. 10,"1,981.00"
2018. 11,"1,988.00"
2018. 12,"1,989.00"
2019. 01,"1,998.00"
2019. 02,"2,002.00"
2019. 03,"1,989.00"
2019. 04,"1,970.00"
2019. 05,"1,984.00"
2019. 06,"1,993.00"
2019. 07,"1,958.00"
2019. 08,"1,979.00"
2019. 09,"2,011.00"
2019. 10,"1,998.00"
2019. 11,"1,998.00"
2019. 12,"2,013.00"
2020. 01,"2,020.00"
2020. 02,"2,007.00"
2020. 03,"1,993.00"
2020. 04,"1,979.00"
2020. 05,"1,984.00"
2020. 06,"2,016.00"
2020. 07,"1,979.00"
2020. 08,"1,936.00"
2020. 09,"2,005.00"
2020. 10,"2,028.00"
2020. 11,"2,013.00"
2020. 12,"2,019.00"
