년도,질소산화물
2017. 07,2.4
2017. 08,3.5
2017. 09,5.3
2017. 10,6.8
2017. 11,5.7
2017. 12,7.9
2018. 01,8.9
2018. 02,6.2
2018. 03,6.9
2018. 04,4.8
2018. 05,4.4
2018. 06,4.4
2018. 07,3.3
2018. 08,3.6
2018. 09,4.3
2018. 10,5.4
2018. 11,8.3
2018. 12,9.5
2019. 01,7.1
2019. 02,7.1
2019. 03,8.2
2019. 04,7.6
2019. 05,5.2
2019. 06,3.7
2019. 07,2.1
2019. 08,3.5
2019. 09,4.3
2019. 10,4.5
2019. 11,9.5
2019. 12,8
2020. 01,8.7
2020. 02,7.3
2020. 03,6.9
2020. 04,5.1
2020. 05,4.7
2020. 06,3.9
2020. 07,3.2
2020. 08,2.3
2020. 09,3.9
2020. 10,5.9
2020. 11,7
2020. 12,6.5
