년도 ,이산화황
2017. 07,0.7
2017. 08,1.1
2017. 09,1.6
2017. 10,1.6
2017. 11,1.4
2017. 12,2
2018. 01,2.5
2018. 02,2.3
2018. 03,1.3
2018. 04,1.4
2018. 05,1.1
2018. 06,1.4
2018. 07,1.2
2018. 08,1.3
2018. 09,0.9
2018. 10,1.3
2018. 11,1.8
2018. 12,1.9
2019. 01,1.2
2019. 02,1.4
2019. 03,1.1
2019. 04,0.9
2019. 05,1.2
2019. 06,0.7
2019. 07,0.5
2019. 08,1
2019. 09,0.7
2019. 10,0.8
2019. 11,1.4
2019. 12,1.2
2020. 01,1.3
2020. 02,0.8
2020. 03,0.8
2020. 04,0.5
2020. 05,0.5
2020. 06,0.5
2020. 07,0.4
2020. 08,0.5
2020. 09,0.6
2020. 10,1
2020. 11,1
2020. 12,1.3
